,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8
109,Donald Trump,DTr,26-Sep-20,9,0.0,0.0,0.0,0.0,0.0,0.057420618088343034,0.0,0.0,0.0
110,Donald Trump,DTr,26-Sep-20,10,0.0,0.010878361254277047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Donald Trump,DTr,07-Sep-20,1,0.560725147769184,0.000879341570812292,0.0,0.14597147368007746,0.0,0.0,0.0,0.10857480088097271,0.5819467694105878
112,Donald Trump,DTr,07-Sep-20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Donald Trump,DTr,07-Sep-20,3,0.03158165300073568,0.0,0.0,0.0,0.0,0.06311746802181156,0.0,0.016195863383071718,0.06983899072505767
114,Donald Trump,DTr,07-Sep-20,4,0.11334216926540186,0.32954790925641014,0.4608378643697896,0.0,0.0,0.0,0.0,0.06867004117694939,0.07936675539735089
115,Donald Trump,DTr,07-Sep-20,5,0.06703215623106418,0.029374356176979116,0.0,0.0,0.03245435811306402,0.08761326019176288,0.0,0.0,0.0
116,Donald Trump,DTr,07-Sep-20,6,0.0,0.0,0.0,0.005243023014007586,0.03581672880002834,0.23596301569722888,0.0,0.0,0.0
117,Donald Trump,DTr,07-Sep-20,7,0.12162438055002645,0.0,0.3084583185830238,0.0,0.0,0.0,0.0,0.08918505202815596,0.0
118,Donald Trump,DTr,07-Sep-20,8,0.0061977806547618974,0.0,0.029463436162713713,0.05678761779578137,0.0,0.0,0.05073392381502834,0.09107231392775147,0.47406171874517333
119,Donald Trump,DTr,07-Sep-20,9,0.0,0.01744499830812396,0.2273059968383087,0.6538071655530147,0.02933295046346457,0.6038319397112804,0.0,0.0,0.0
120,Donald Trump,DTr,07-Sep-20,10,0.0,0.0,0.0,0.10720984775687353,0.0,0.0,0.0,0.0,0.0
121,Donald Trump,DTr,07-Sep-20,11,0.0,0.0,0.0,0.1357618649735236,0.0,0.0,0.0,0.0,0.0
122,Donald Trump,DTr,07-Sep-20,12,0.0,0.0,0.0,0.025136432649597973,0.0,0.0,0.13423730495413622,0.08334771909613783,0.46988155669621956
123,Donald Trump,DTr,07-Sep-20,13,0.0,0.0,0.11307158577277632,0.0,0.17446790126896838,0.0,0.0,0.0,0.14655587725545272
124,Donald Trump,DTr,07-Sep-20,14,0.0,0.09599023974751611,0.0,0.8617358582836798,0.0,0.0,0.0,0.025526900952530768,0.0
125,Donald Trump,DTr,07-Sep-20,15,0.0,0.0,0.13914155293202674,0.0,0.006048771463435965,0.0,0.0,0.0,0.0
126,Donald Trump,DTr,07-Sep-20,16,0.0,0.0,0.0,0.05826529113933818,0.0,0.0,0.1407391769100057,0.4682157875425048,0.04781529247970698
127,Donald Trump,DTr,07-Sep-20,17,0.09586697170719694,0.0,0.2480914702956642,0.7835698055808512,0.0,0.0,0.29642399397667674,0.0,0.0
128,Donald Trump,DTr,07-Sep-20,18,0.0,0.8617358582836798,0.5831756530952221,0.3919563178516543,0.06751707296888143,0.0838298927379203,0.0,0.03944707833118313,0.0
129,Donald Trump,DTr,07-Sep-20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Donald Trump,DTr,07-Sep-20,20,0.16357090153289933,0.0,0.3684871946890894,0.0,0.03920800914855338,0.0,0.0,0.04411928099310963,0.0
131,Donald Trump,DTr,07-Sep-20,21,0.0,0.0,0.0,0.16536432315980287,0.0,0.02034061924288677,0.11516395322566325,0.07801817292760169,0.13412887923911304
132,Donald Trump,DTr,07-Sep-20,22,0.0,0.06469365829235554,0.1859937538453093,0.0009413402910225521,0.0,0.1733110736812779,0.20186176755977675,0.0,0.0
133,Donald Trump,DTr,07-Sep-20,23,0.0,0.0,0.10923319512620633,0.1346013799594315,0.0,0.0,0.0,0.0,0.0
134,Donald Trump,DTr,07-Sep-20,24,0.0,0.0,0.0,0.2541125332403886,0.0,0.4815098631057897,0.0,0.07502431245516486,0.0
135,Donald Trump,DTr,07-Sep-20,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Donald Trump,DTr,07-Sep-20,26,0.0,0.0,0.0,0.0,0.0,0.02738171281204907,0.0,0.0,0.0
137,Donald Trump,DTr,07-Sep-20,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Donald Trump,DTr,07-Sep-20,28,0.0,0.0,0.0,0.0,0.0,0.0,0.04571367968634213,0.0,0.0
139,Donald Trump,DTr,07-Sep-20,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Donald Trump,DTr,07-Sep-20,30,0.0,0.0,0.24023442875236922,0.0,0.16906508640427398,0.0,0.0,0.0,0.0
141,Donald Trump,DTr,07-Sep-20,31,0.0,0.0,0.0396554293249923,0.0,0.0,0.2776076737900403,0.0,0.0,0.2545127930537735
142,Donald Trump,DTr,07-Sep-20,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Donald Trump,DTr,04-Jul-20,1,0.37792347724060193,0.09402251745982998,0.0,0.0,0.0,0.0,0.0,0.0,0.0053695077305313255
144,Donald Trump,DTr,04-Jul-20,2,0.0,0.0,0.3074285132678457,0.048653326078585385,0.0011054443508091705,0.4874994473082407,0.0,0.0,0.0
145,Donald Trump,DTr,04-Jul-20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Donald Trump,DTr,04-Jul-20,4,0.15383999304047025,0.0,0.6758709737786407,0.33972359035303284,0.0,0.1854800869479487,0.09713845906683152,0.3424565376367526,0.0
