,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame
50,50,Joe Biden,JBi,01-Mar-22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_23
51,51,Joe Biden,JBi,01-Mar-22,24,0.0,0.0,0.00024591616502989133,0.04398580127457491,0.0,0.0,0.0,0.0,0.0,3,01-Mar-22_Frame_24
52,52,Joe Biden,JBi,01-Mar-22,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_25
53,53,Joe Biden,JBi,06-Jan-22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_1
54,54,Joe Biden,JBi,06-Jan-22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_2
55,55,Joe Biden,JBi,06-Jan-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_3
56,56,Joe Biden,JBi,06-Jan-22,4,0.0038879987645314413,0.0,0.0,0.0,0.0432399611045104,0.0,0.0,0.005306001210314021,0.0,7,06-Jan-22_Frame_4
57,57,Joe Biden,JBi,06-Jan-22,5,0.0,0.0,0.0,0.0,0.013008267715423016,0.0,0.0,0.0,0.0,4,06-Jan-22_Frame_5
58,58,Joe Biden,JBi,06-Jan-22,6,0.0,0.0,0.0,0.0,0.16041634651229236,0.0,0.0,0.0,0.0,4,06-Jan-22_Frame_6
59,59,Joe Biden,JBi,06-Jan-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_7
60,60,Joe Biden,JBi,06-Jan-22,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_8
61,61,Joe Biden,JBi,06-Jan-22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_9
62,62,Joe Biden,JBi,06-Jan-22,10,0.0,0.0,0.0,0.01544594214884751,0.0,0.0,0.0,0.0,0.0,3,06-Jan-22_Frame_10
63,63,Joe Biden,JBi,06-Jan-22,11,0.0,0.0,0.0,0.0,0.17950123571807314,0.16366528139129516,0.0,0.0,0.0,5,06-Jan-22_Frame_11
64,64,Joe Biden,JBi,06-Jan-22,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_12
65,65,Joe Biden,JBi,15-Nov-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_1
66,66,Joe Biden,JBi,15-Nov-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_2
67,67,Joe Biden,JBi,15-Nov-21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_3
68,68,Joe Biden,JBi,15-Nov-21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_4
69,69,Joe Biden,JBi,15-Nov-21,5,0.0,0.0,0.0,0.0,0.0,0.13391645330204882,0.08690999862773617,0.0,0.0,6,15-Nov-21_Frame_5
70,70,Joe Biden,JBi,15-Nov-21,6,0.0,0.38402976720341453,0.0,0.06145318802578464,0.0,0.1746611092873424,0.0,0.0,0.0,5,15-Nov-21_Frame_6
71,71,Joe Biden,JBi,15-Nov-21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_7
72,72,Joe Biden,JBi,15-Nov-21,8,0.0610439290613996,0.0,0.0,0.0,0.0,0.022697064784184703,0.0,0.0,0.0,0,15-Nov-21_Frame_8
73,73,Joe Biden,JBi,15-Nov-21,9,0.0,0.0,0.0,0.0,0.0,0.03467828246283905,0.0,0.0,0.0,5,15-Nov-21_Frame_9
74,74,Joe Biden,JBi,15-Nov-21,10,0.0,0.0,0.13470391161282325,0.022535425734537096,0.0,0.22408730579530303,0.0,0.0,0.0,5,15-Nov-21_Frame_10
75,75,Joe Biden,JBi,15-Nov-21,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_11
76,76,Joe Biden,JBi,15-Nov-21,12,0.0,0.0,0.0,0.0,0.0,0.3881201464749423,0.0,0.0,0.0,5,15-Nov-21_Frame_12
77,77,Joe Biden,JBi,15-Nov-21,13,0.0,0.0,0.0,0.14141577666761712,0.0,0.0,0.0,0.0,0.0,3,15-Nov-21_Frame_13
78,78,Joe Biden,JBi,15-Nov-21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_14
