,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame,FNO,Date1
48,48,Joe Biden,JBi,01-Mar-22,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_21,21,01-Mar-22
49,49,Joe Biden,JBi,01-Mar-22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_22,22,01-Mar-22
50,50,Joe Biden,JBi,01-Mar-22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_23,23,01-Mar-22
51,51,Joe Biden,JBi,01-Mar-22,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060898835387696186,0.0,7,01-Mar-22_Frame_24,24,01-Mar-22
52,52,Joe Biden,JBi,01-Mar-22,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Mar-22_Frame_25,25,01-Mar-22
53,53,Joe Biden,JBi,06-Jan-22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_1,1,06-Jan-22
54,54,Joe Biden,JBi,06-Jan-22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_2,2,06-Jan-22
55,55,Joe Biden,JBi,06-Jan-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_3,3,06-Jan-22
56,56,Joe Biden,JBi,06-Jan-22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_4,4,06-Jan-22
57,57,Joe Biden,JBi,06-Jan-22,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_5,5,06-Jan-22
58,58,Joe Biden,JBi,06-Jan-22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189047870364229,0.0,7,06-Jan-22_Frame_6,6,06-Jan-22
59,59,Joe Biden,JBi,06-Jan-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_7,7,06-Jan-22
60,60,Joe Biden,JBi,06-Jan-22,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_8,8,06-Jan-22
61,61,Joe Biden,JBi,06-Jan-22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_9,9,06-Jan-22
62,62,Joe Biden,JBi,06-Jan-22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07921720223756251,0.0,7,06-Jan-22_Frame_10,10,06-Jan-22
63,63,Joe Biden,JBi,06-Jan-22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.1483636953864364,0.0,0.04537585883130929,8,06-Jan-22_Frame_11,11,06-Jan-22
64,64,Joe Biden,JBi,06-Jan-22,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,06-Jan-22_Frame_12,12,06-Jan-22
65,65,Joe Biden,JBi,15-Nov-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_1,1,15-Nov-21
66,66,Joe Biden,JBi,15-Nov-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_2,2,15-Nov-21
67,67,Joe Biden,JBi,15-Nov-21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00749809927018219,0.0224586809887562,8,15-Nov-21_Frame_3,3,15-Nov-21
68,68,Joe Biden,JBi,15-Nov-21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_4,4,15-Nov-21
69,69,Joe Biden,JBi,15-Nov-21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_5,5,15-Nov-21
70,70,Joe Biden,JBi,15-Nov-21,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_6,6,15-Nov-21
71,71,Joe Biden,JBi,15-Nov-21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_7,7,15-Nov-21
72,72,Joe Biden,JBi,15-Nov-21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_8,8,15-Nov-21
73,73,Joe Biden,JBi,15-Nov-21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_9,9,15-Nov-21
74,74,Joe Biden,JBi,15-Nov-21,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_10,10,15-Nov-21
75,75,Joe Biden,JBi,15-Nov-21,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_11,11,15-Nov-21
76,76,Joe Biden,JBi,15-Nov-21,12,0.0,0.0,0.0,0.0,0.0,0.01806608932337184,0.0,0.0,0.0,5,15-Nov-21_Frame_12,12,15-Nov-21
77,77,Joe Biden,JBi,15-Nov-21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_13,13,15-Nov-21
78,78,Joe Biden,JBi,15-Nov-21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_14,14,15-Nov-21
79,79,Joe Biden,JBi,15-Nov-21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15-Nov-21_Frame_15,15,15-Nov-21
80,80,Joe Biden,JBi,01-Jun-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_1,1,01-Jun-21
81,81,Joe Biden,JBi,01-Jun-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_2,2,01-Jun-21
82,82,Joe Biden,JBi,01-Jun-21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_3,3,01-Jun-21
83,83,Joe Biden,JBi,01-Jun-21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_4,4,01-Jun-21
84,84,Joe Biden,JBi,01-Jun-21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_5,5,01-Jun-21
85,85,Joe Biden,JBi,01-Jun-21,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_6,6,01-Jun-21
86,86,Joe Biden,JBi,01-Jun-21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_7,7,01-Jun-21
87,87,Joe Biden,JBi,01-Jun-21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_8,8,01-Jun-21
88,88,Joe Biden,JBi,01-Jun-21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_9,9,01-Jun-21
89,89,Joe Biden,JBi,01-Jun-21,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_10,10,01-Jun-21
90,90,Joe Biden,JBi,01-Jun-21,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_11,11,01-Jun-21
91,91,Joe Biden,JBi,01-Jun-21,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_12,12,01-Jun-21
92,92,Joe Biden,JBi,01-Jun-21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_13,13,01-Jun-21
93,93,Joe Biden,JBi,01-Jun-21,14,0.12382600208132173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_14,14,01-Jun-21
94,94,Joe Biden,JBi,01-Jun-21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_15,15,01-Jun-21
95,95,Joe Biden,JBi,01-Jun-21,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_16,16,01-Jun-21
96,96,Joe Biden,JBi,01-Jun-21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.2142584129851484,0.0,0.0,6,01-Jun-21_Frame_17,17,01-Jun-21
97,97,Joe Biden,JBi,01-Jun-21,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01-Jun-21_Frame_18,18,01-Jun-21
98,98,Joe Biden,JBi,01-Jun-21,19,0.0,0.057729736691988165,0.0,0.17595696070133282,0.0,0.0,0.0,0.0,0.0,3,01-Jun-21_Frame_19,19,01-Jun-21
