,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8
68,Joe Biden,JBi,15-Nov-21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.02365860887452101,0.0,0.0
69,Joe Biden,JBi,15-Nov-21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Joe Biden,JBi,15-Nov-21,6,0.0,0.0,0.0,0.0,0.0,0.028546121116456408,0.0,0.0,0.0
71,Joe Biden,JBi,15-Nov-21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Joe Biden,JBi,15-Nov-21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Joe Biden,JBi,15-Nov-21,9,0.0,0.0888481925147227,0.0,0.0,0.0,0.04269002742973099,0.0,0.13510079930260327,0.0834640808293648
74,Joe Biden,JBi,15-Nov-21,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Joe Biden,JBi,15-Nov-21,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Joe Biden,JBi,15-Nov-21,12,0.0,0.0,0.109830447180853,0.0,0.0,0.18795012972349323,0.0,0.0,0.0
77,Joe Biden,JBi,15-Nov-21,13,0.0,0.0,0.14667254210206665,0.0,0.0,0.0,0.0,0.0,0.0
78,Joe Biden,JBi,15-Nov-21,14,0.0,0.0,0.0,0.0,0.0,0.10993351098518406,0.0,0.0,0.0
79,Joe Biden,JBi,15-Nov-21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Joe Biden,JBi,01-Jun-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Joe Biden,JBi,01-Jun-21,2,0.10796914977973893,0.0,0.0,0.0,0.0,0.0,0.006497490301949904,0.0,0.0
82,Joe Biden,JBi,01-Jun-21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Joe Biden,JBi,01-Jun-21,4,0.0,0.0,0.0,0.05076001841218181,0.05129006755102061,0.05896922342108957,0.0,0.0,0.0
84,Joe Biden,JBi,01-Jun-21,5,0.0,0.07169021682966445,0.0,0.0,0.0,0.16800155318468818,0.0,0.0,0.0
85,Joe Biden,JBi,01-Jun-21,6,0.0,0.10322727693285005,0.0,0.0,0.0,0.0,0.0,0.006998988013784069,0.006768744588110748
86,Joe Biden,JBi,01-Jun-21,7,0.008191573060143842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Joe Biden,JBi,01-Jun-21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11241628801996278,0.01257658390420921
88,Joe Biden,JBi,01-Jun-21,9,0.0,0.0,0.0,0.0,0.02846407456471986,0.0,0.0,0.0,0.0
89,Joe Biden,JBi,01-Jun-21,10,0.0,0.0,0.024958032729535257,0.007260365541184061,0.0,0.008926590976542942,0.030939769596612904,0.07982536599101392,0.0
90,Joe Biden,JBi,01-Jun-21,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Joe Biden,JBi,01-Jun-21,12,0.0,0.0,0.0,0.11127214599629448,0.0,0.030292630584580288,0.0,0.0,0.0
92,Joe Biden,JBi,01-Jun-21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Joe Biden,JBi,01-Jun-21,14,0.2937100424814431,0.0012501443579888971,0.0,0.0,0.0,0.013837713116231803,0.0,0.0,0.0
94,Joe Biden,JBi,01-Jun-21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Joe Biden,JBi,01-Jun-21,16,0.0,0.0,0.0,0.035995539083680195,0.0,0.0,0.14994315387073193,0.0,0.0
96,Joe Biden,JBi,01-Jun-21,17,0.0,0.0,0.0,0.0,0.018349687086350597,0.05771908296213496,0.38414245338526976,0.0,0.0
97,Joe Biden,JBi,01-Jun-21,18,0.0,0.0,0.0348138002768362,0.01448725599782208,0.03525246002588667,0.0,0.0,0.1330363129121077,0.0
98,Joe Biden,JBi,01-Jun-21,19,0.03676024225597027,0.22761377709210956,0.0,0.3458410011014542,0.0,0.0,0.0,0.0,0.051978635794257544
99,Joe Biden,JBi,01-Jun-21,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Joe Biden,JBi,01-Jun-21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Donald Trump,DTr,26-Sep-20,1,0.7067082296775693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Donald Trump,DTr,26-Sep-20,2,0.4626285352406362,0.0,0.0,0.0,0.0,0.0,0.3127631390764091,0.0,0.0
103,Donald Trump,DTr,26-Sep-20,3,0.37067564170706435,0.0,0.0,0.0,0.0,0.0,0.0,0.02290389701371895,0.0
104,Donald Trump,DTr,26-Sep-20,4,0.07176561628613956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Donald Trump,DTr,26-Sep-20,5,0.3720396362518231,0.0,0.0,0.0047380921491001204,0.0,0.0,0.0,0.0,0.0
106,Donald Trump,DTr,26-Sep-20,6,0.6424180502235112,0.0,0.0,0.0,0.0,0.0506748574505764,0.0,0.0,0.0
107,Donald Trump,DTr,26-Sep-20,7,0.1852677481842651,0.0,0.0,0.0,0.0,0.15938392204009422,0.0,0.13585278751402124,0.0
108,Donald Trump,DTr,26-Sep-20,8,0.045709309857385166,0.0,0.0,0.0,0.13974137447060753,0.0,0.0,0.0,0.0
109,Donald Trump,DTr,26-Sep-20,9,0.19966273477635116,0.0,0.0,0.0,0.0,0.010724533275119796,0.0,0.0,0.0
110,Donald Trump,DTr,26-Sep-20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Donald Trump,DTr,07-Sep-20,1,0.09974047299423588,0.01697629054487365,0.0,0.0,0.0,0.0,0.0,0.0,0.039637137991302196
112,Donald Trump,DTr,07-Sep-20,2,0.0,0.0,0.0,0.0,0.0,0.013534828653086944,0.19934221111799189,0.0008349900150843026,0.0
113,Donald Trump,DTr,07-Sep-20,3,0.0,0.006762675497825166,0.0,0.0,0.08718446928712992,0.06540715576716047,0.0,0.0,0.0
114,Donald Trump,DTr,07-Sep-20,4,0.0,0.09233236313173077,0.005954032288192829,0.0,0.0,0.0,0.0,0.0,0.1888500160148438
115,Donald Trump,DTr,07-Sep-20,5,0.0,0.015807194990854145,0.0,0.0,0.0,0.0,0.0,0.029884859205100395,0.0
116,Donald Trump,DTr,07-Sep-20,6,0.0,0.0,0.04316254759257715,0.0,0.0,0.0,0.0,0.2283296492557314,0.0
117,Donald Trump,DTr,07-Sep-20,7,0.0,0.013922759967880671,0.17234505104786163,0.0,0.0,0.0,0.0,0.0,0.0
118,Donald Trump,DTr,07-Sep-20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Donald Trump,DTr,07-Sep-20,9,0.0,0.0,0.05597969381636206,0.0,0.0,0.0,0.0,0.0,0.0
120,Donald Trump,DTr,07-Sep-20,10,0.0,0.048924974655178394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Donald Trump,DTr,07-Sep-20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Donald Trump,DTr,07-Sep-20,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04978824495862008
123,Donald Trump,DTr,07-Sep-20,13,0.0,0.0,0.0,0.0,0.09616689792826533,0.012399946322824346,0.06531377931556165,0.0,0.0
