,Nameabv,Name_long,Date,Frame No.,Sen1,Sen2,Sen3,Sen4,Sen5,Sen6,Sen7,Sen8,Sen9,Sen10,Sen11,Sen12,Sen13,Sen14,Sen15,Sen16
55,JBi,Joe Biden,06-Jan-22,3,-0.4404,-0.34,0.1531,-0.4019,0.0,-0.8402,-0.872,0.0,-0.5106,0.0,-0.6705,0.0,0.0,0.0,-0.34,0.6808
56,JBi,Joe Biden,06-Jan-22,4,0.0,0.4939,0.0,0.0,0.3182,0.0,0.6249,0.3182,0.5719,0.6249,0.128,0.6901,0.5106,0.8464,-0.2263,0.0
57,JBi,Joe Biden,06-Jan-22,5,-0.2023,0.8885,0.2023,0.4588,0.34,0.0,-0.4215,0.3182,-0.4678,-0.1695,0.3182,-0.4939,0.0,0.0,0.0,0.0
58,JBi,Joe Biden,06-Jan-22,6,0.0,0.0,0.4404,-0.128,0.0,0.0,0.7845,0.0,-0.2732,0.6098,-0.5095,0.9246,-0.4767,0.0,0.0,0.7184
59,JBi,Joe Biden,06-Jan-22,7,0.2247,0.5423,0.0,0.4939,0.0,0.0,-0.0516,0.0,-0.3612,0.0,0.0,0.3182,0.0,0.3612,0.0,-0.25
60,JBi,Joe Biden,06-Jan-22,8,0.8074,0.0772,0.0,0.0,0.0,-0.6124,-0.1531,-0.5574,0.0,0.0,0.9325,0.8402,0.0,-0.128,0.0,0.0
61,JBi,Joe Biden,06-Jan-22,9,0.0,-0.5719,0.0,0.0,-0.2263,0.1531,0.5994,0.8957,-0.5574,-0.3182,0.0,0.4939,0.6794,0.1779,0.0,0.0
62,JBi,Joe Biden,06-Jan-22,10,0.0,0.0,-0.3182,-0.34,0.7184,-0.4588,-0.4767,-0.25,-0.3612,0.1376,-0.8555,0.3818,0.0,0.1406,-0.6249,-0.5106
63,JBi,Joe Biden,06-Jan-22,11,-0.1796,0.8442,-0.3612,-0.0516,-0.0772,-0.6705,-0.7845,0.8922,-0.25,0.0,0.0,-0.0772,0.8304,0.8225,0.0,0.5334
64,JBi,Joe Biden,06-Jan-22,12,0.0,0.8442,0.5994,0.5719,0.5994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,JBi,Joe Biden,15-Nov-21,1,0.5574,0.2263,0.0,0.2944,0.0,0.5574,0.9186,0.0,0.7003,0.2732,0.29600000000000004,-0.8519,0.0,0.0,0.4939,-0.1901
66,JBi,Joe Biden,15-Nov-21,2,0.6597,0.0,0.0,-0.0772,0.2263,0.0,0.2732,0.5859,0.4404,0.7717,0.3612,0.0772,0.0,0.0572,0.0,0.0
67,JBi,Joe Biden,15-Nov-21,3,0.0,0.10099999999999999,0.4404,0.4215,-0.0772,0.0,0.0,-0.29600000000000004,0.0,-0.6808,0.4215,-0.7453,0.6348,0.0,0.0,-0.4019
68,JBi,Joe Biden,15-Nov-21,4,0.4005,0.5994,0.0,0.7579,0.0,0.0,0.0,0.0,0.765,0.0,0.0,0.0,0.0,0.7579,0.0,0.0
69,JBi,Joe Biden,15-Nov-21,5,0.0,0.0,0.0,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5994,0.4767
70,JBi,Joe Biden,15-Nov-21,6,0.8169,0.0,0.0,0.0,0.0,0.0,0.802,0.0,0.0,0.0,0.3182,0.0,0.0,0.0,-0.4019,0.0
71,JBi,Joe Biden,15-Nov-21,7,0.6369,0.7845,0.3818,0.0,0.0,0.4404,0.0,0.4019,0.0,0.0,0.2732,-0.6486,0.0,0.0,-0.2716,0.2716
72,JBi,Joe Biden,15-Nov-21,8,0.2716,-0.4215,0.1531,0.0,-0.4404,0.0,-0.4939,0.2023,0.0,-0.5965,-0.5965,-0.4588,0.0,-0.3182,0.0,0.4215
73,JBi,Joe Biden,15-Nov-21,9,0.7984,-0.5106,0.0,0.0,0.0,0.765,0.8885,0.5927,0.0,0.3182,0.6124,-0.5859,0.0,-0.5106,0.0,-0.29600000000000004
74,JBi,Joe Biden,15-Nov-21,10,0.0,0.2023,-0.2263,-0.5423,0.6369,0.0,0.2732,0.0,0.0,0.0,0.6369,0.0,0.0,0.0772,0.0,0.0
75,JBi,Joe Biden,15-Nov-21,11,0.0,0.0,0.4404,0.0,0.1027,0.0,0.0,0.0,-0.3818,-0.743,0.0,0.4404,0.0,0.4939,0.4754,0.0
76,JBi,Joe Biden,15-Nov-21,12,0.3182,0.0,0.0,0.7351,0.3612,-0.5448,0.7089,0.0,0.0,0.6808,0.7845,0.6597,0.4939,0.0,-0.4019,-0.3818
77,JBi,Joe Biden,15-Nov-21,13,0.4404,0.0,-0.5994,-0.5994,0.0,0.0,0.3182,0.0,0.0,-0.29600000000000004,-0.29600000000000004,-0.5583,0.0,0.0,0.25,0.25
78,JBi,Joe Biden,15-Nov-21,14,0.3182,0.0,0.0,0.0,0.0,0.0,0.9574,0.0,0.0,0.8225,0.0,0.0,0.0,0.0,0.0,0.7579
79,JBi,Joe Biden,15-Nov-21,15,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,JBi,Joe Biden,01-Jun-21,1,0.5574,0.3182,0.0,0.3182,0.0,0.3182,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.4215,0.0,0.7269
81,JBi,Joe Biden,01-Jun-21,2,0.5563,-0.1027,0.4404,0.8625,0.6669,0.5719,0.4767,0.3612,0.3818,0.0,0.1027,0.0,0.0,0.743,0.0,0.0
82,JBi,Joe Biden,01-Jun-21,3,0.0,0.0,0.3612,0.3612,0.0,0.8074,0.4939,0.0,-0.29600000000000004,0.0,0.0,0.2899,-0.25,0.0,-0.4019,0.0
83,JBi,Joe Biden,01-Jun-21,4,-0.9279,0.0,0.6908,0.3182,0.0,0.4767,0.0,-0.4939,0.0258,0.4215,0.0,0.2023,0.0,0.7506,0.5574,0.4767
84,JBi,Joe Biden,01-Jun-21,5,0.3612,0.4404,0.0,0.8089,0.0,0.0,0.8271,0.0,0.0,0.0,0.0,-0.872,-0.1877,0.0,0.0,-0.7096
85,JBi,Joe Biden,01-Jun-21,6,0.3612,0.0,0.0,0.0,-0.5574,-0.6808,-0.6808,-0.6249,0.0,0.0,0.0,-0.6597,0.5574,-0.1027,0.3612,0.0
86,JBi,Joe Biden,01-Jun-21,7,-0.34,0.0,0.0,0.0,0.0,0.0,-0.6908,-0.2263,-0.3182,-0.4939,0.0,0.0,-0.6249,0.0,-0.7579,-0.5994
87,JBi,Joe Biden,01-Jun-21,8,0.0,0.0,0.0772,-0.5994,0.5994,-0.29600000000000004,0.7717,0.7003,0.5423,0.0,0.4449,-0.3716,-0.2263,0.3818,-0.25,0.0
88,JBi,Joe Biden,01-Jun-21,9,0.6597,0.0,0.0,0.0,0.4215,0.0,-0.8442,0.3612,0.4408,0.0,0.1531,-0.5719,0.0516,0.0772,0.0,-0.1531
89,JBi,Joe Biden,01-Jun-21,10,0.6249,0.6249,0.4404,0.4019,0.0,-0.4404,0.0,0.0,-0.7269,0.3612,-0.0613,0.0,0.8225,-0.0772,0.0,-0.6908
90,JBi,Joe Biden,01-Jun-21,11,0.0,0.1779,0.0,-0.5859,0.0,0.6808,0.6908,0.0,0.0,0.0,0.0,0.0,0.0,-0.6597,0.4215,-0.2263
91,JBi,Joe Biden,01-Jun-21,12,0.0,0.4939,0.3818,0.0,0.7906,-0.3612,-0.5574,0.0,0.4019,0.3612,-0.1531,-0.29600000000000004,-0.4767,0.0772,0.4767,0.0
92,JBi,Joe Biden,01-Jun-21,13,0.0,0.0,0.34,0.2023,0.0,0.0,0.0772,0.5719,0.7783,0.0,0.7684,0.1027,0.3182,0.0,0.0,0.0
93,JBi,Joe Biden,01-Jun-21,14,0.6249,0.7549,0.6666,0.0,0.5994,0.2732,0.0,0.0,0.0,0.0,0.7783,0.8519,0.1027,0.6908,0.7003,0.4939
94,JBi,Joe Biden,01-Jun-21,15,0.3818,0.0,0.0,0.0,0.0,0.2382,0.3612,0.0,-0.5574,0.0,0.4754,-0.5719,0.0,0.3252,0.4404,0.1531
